Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,5,50.0,-2.35
Query 2,0,0.0,0
Query 3,3,30.0,-3.5
Query 4,4,40.0,-3.5999999999999996
Query 5,1,10.0,0
Query 6,5,50.0,-1.1
Query 7,2,20.0,-7.0
Query 8,2,20.0,-12.0
Query 9,1,10.0,0
Query 10,2,20.0,-1.0
Query 11,3,30.0,-0.5
Query 12,4,40.0,-4.1
Query 13,5,50.0,-0.3999999999999999
Query 14,1,10.0,0
Query 15,5,50.0,-0.19999999999999996
Query 16,0,0.0,0
Query 17,4,40.0,-5.7
Query 18,0,0.0,0
Query 19,2,20.0,-48.0
Query 20,3,30.0,-2.25
Query 21,2,20.0,-1.0
Query 22,0,0.0,0
Query 23,4,40.0,-7.300000000000001
Query 24,2,20.0,-17.0
Query 25,4,40.0,-3.5
Query 26,3,30.0,-3.25
Query 27,0,0.0,0
Query 28,2,20.0,-1.0
Query 29,4,40.0,-3.2
Query 30,4,40.0,-4.0
Query 31,2,20.0,-4.0
Query 32,1,10.0,0
Query 33,3,30.0,-3.25
Query 34,1,10.0,0
Query 35,1,10.0,0
Query 36,3,30.0,-0.25
Query 37,0,0.0,0
Query 38,3,30.0,-17.0
Query 39,4,40.0,-1.2999999999999998
Query 40,1,10.0,0
Query 41,5,50.0,-5.7
Query 42,6,60.0,0.2571428571428571
Query 43,4,40.0,-3.5
Query 44,1,10.0,0
Query 45,0,0.0,0
Query 46,2,20.0,-4.0
Query 47,1,10.0,0
Query 48,3,30.0,-26.5
Query 49,2,20.0,-67.0
Query 50,4,40.0,-6.5
Query 51,4,40.0,0.7
Query 52,5,50.0,-0.3500000000000001
Query 53,0,0.0,0
Query 54,3,30.0,-4.0
Query 55,1,10.0,0
Query 56,1,10.0,0
Query 57,2,20.0,-4.0
Query 58,2,20.0,-1.0
Query 59,0,0.0,0
Query 60,1,10.0,0
Query 61,4,40.0,-4.0
Query 62,4,40.0,-5.9
Query 63,4,40.0,-1.9
Query 64,4,40.0,0.8
Query 65,3,30.0,-17.75
Query 66,3,30.0,-0.5
Query 67,2,20.0,-15.0
Query 68,1,10.0,0
Query 69,1,10.0,1
Query 70,0,0.0,0
Query 71,0,0.0,0
Query 72,5,50.0,0.4
Query 73,2,20.0,-36.0
Query 74,0,0.0,0
Query 75,4,40.0,0.6
Query 76,3,30.0,-3.25
Query 77,2,20.0,-1.0
Query 78,2,20.0,-19.0
Query 79,3,30.0,-13.25
Query 80,2,20.0,-73.0
Query 81,2,20.0,-35.0
Query 82,0,0.0,0
Query 83,4,40.0,-5.6
Query 84,1,10.0,1
Query 85,3,30.0,-1.75
Query 86,1,10.0,0
Query 87,3,30.0,-0.5
Query 88,1,10.0,1
Query 89,3,30.0,-0.5
Query 90,3,30.0,-0.5
Query 91,1,10.0,0
Query 92,4,40.0,-1.2999999999999998
Query 93,3,30.0,-10.5
Query 94,2,20.0,-8.0
Query 95,3,30.0,-9.0
Query 96,1,10.0,1
Query 97,0,0.0,0
Query 98,0,0.0,0
Query 99,3,30.0,-2.5
Query 100,3,30.0,-15.25
Averages,2.33,23.3,-5.544928571428572
